epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.497,0.61819,3.27189,0.91766,0.00565,1,0.4586,0.40514,0.4536,3.20638,0.77971,0.00015719,0.00015719,0.00015719
2,213.695,0.59018,1.74426,0.88051,1,0.15066,0.75163,0.64818,0.49392,2.84436,0.78842,0.000316286,0.000316286,0.000316286
3,318.021,0.60879,1.32946,0.89066,0.95405,0.71234,0.91052,0.79925,0.53331,2.99428,0.8127,0.000427637,0.000427637,0.000427637
4,420.482,0.59384,1.16497,0.90757,1,0.29188,0.92348,0.7983,0.51408,2.85895,0.81976,0.000466399,0.000466399,0.000466399
5,522.733,0.54815,1.0656,0.89056,1,0.27027,0.96164,0.87795,0.44084,2.79677,0.82021,0.000425771,0.000425771,0.000425771
6,626.039,0.52633,1.01766,0.90145,1,0.74005,0.97336,0.88103,0.43038,2.37249,0.82313,0.000320176,0.000320176,0.000320176
7,730.338,0.48824,0.93288,0.87046,0.98698,0.94164,0.9938,0.90762,0.41337,2.08139,0.81793,0.00018382,0.00018382,0.00018382
8,833.572,0.50229,0.8928,0.88405,0.98372,0.97586,0.99469,0.91178,0.40276,1.77127,0.81282,6.47275e-05,6.47275e-05,6.47275e-05
