epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.786,0.61819,3.27189,0.91766,0.00565,1,0.4586,0.40514,0.4536,3.20638,0.77971,0.00015719,0.00015719,0.00015719
2,240.517,0.5819,1.78675,0.87877,1,0.27861,0.72647,0.63246,0.46845,2.88183,0.7803,0.000247324,0.000247324,0.000247324
3,350.194,0.57381,1.43381,0.88491,1,0.18937,0.89365,0.80199,0.45459,2.76757,0.78376,0.000128789,0.000128789,0.000128789
