epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.081,0.51578,0.98383,0.87851,0.99576,0.9965,0.995,0.90794,0.40272,0.82664,0.82431,0.00015719,0.00015719,0.00015719
2,219.414,0.51751,0.82138,0.88466,0.99247,0.99887,0.995,0.90903,0.41365,0.9579,0.83005,0.000297599,0.000297599,0.000297599
3,325.136,0.52328,0.82101,0.88772,0.983,0.9954,0.995,0.90766,0.42234,1.021,0.82736,0.00032908,0.00032908,0.00032908
4,430.37,0.51023,0.80283,0.89435,0.98513,0.99084,0.995,0.89229,0.42307,0.86115,0.8312,0.000236438,0.000236438,0.000236438
5,538.082,0.46865,0.75984,0.87612,0.98987,0.99313,0.995,0.90507,0.40043,0.80318,0.82688,8.81358e-05,8.81358e-05,8.81358e-05
