epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,361.76,0.61611,3.1509,0.89805,0.94418,0.04767,0.26645,0.22555,0.56439,3.17836,0.79738,0.0002222,0.0002222,0.0002222
2,729.197,0.61896,1.61492,0.89364,1,0.15285,0.50148,0.43625,0.55325,2.89264,0.81182,0.000412448,0.000412448,0.000412448
3,1078.31,0.58945,1.29791,0.90615,1,0.19222,0.68939,0.60884,0.50873,2.7017,0.81438,0.000453218,0.000453218,0.000453218
4,1431.83,0.55786,1.16887,0.8973,0.94753,0.50474,0.83305,0.73145,0.51019,2.314,0.82899,0.000324623,0.000324623,0.000324623
5,1799.3,0.53914,1.05046,0.88314,0.87919,0.86545,0.91967,0.81484,0.48379,1.5892,0.82985,0.00011614,0.00011614,0.00011614
